from_id	from_name	direction	to_id	to_name	condition
4	North Arbor	UP	408	Top of Arbor	via routine 0x24820
4	North Arbor	DOWN	462	Arboretum	via routine 0x248DC
4	North Arbor	IN	408	Top of Arbor	via routine 0x24820
4	North Arbor	OUT	462	Arboretum	via routine 0x248DC
5	Islet	IN	507	Shack	via routine 0x24B78 | if NOT #70 (white door) has ATTRIBUTE26  →jump 0x24B82; if NOT #70 (white door) has ATTRIBUTE19  →jump 0x24BB3
6	Front Deck	N	139	Northeast Yard	via routine 0x286DC
6	Front Deck	E	573	Front Yard	via routine 0x286C8
6	Front Deck	S	477	Southeast Yard	via routine 0x286E4
6	Front Deck	W	442	Assembly Room	via routine 0x2865C | if NOT #26 (left door) has ATTRIBUTE19  →jump 0x28694; if NOT #39 (right door) has ATTRIBUTE19  →jump 0x286B8
6	Front Deck	W	460	Southeast Room	via routine 0x2865C | if NOT #26 (left door) has ATTRIBUTE19  →jump 0x28694; if NOT #39 (right door) has ATTRIBUTE19  →jump 0x286B8
6	Front Deck	DOWN	573	Front Yard	via routine 0x286C8
6	Front Deck	IN	442	Assembly Room	via routine 0x2865C | if NOT #26 (left door) has ATTRIBUTE19  →jump 0x28694; if NOT #39 (right door) has ATTRIBUTE19  →jump 0x286B8
6	Front Deck	IN	460	Southeast Room	via routine 0x2865C | if NOT #26 (left door) has ATTRIBUTE19  →jump 0x28694; if NOT #39 (right door) has ATTRIBUTE19  →jump 0x286B8
36	Shelter	W	127	Playground	via routine 0x262CC
36	Shelter	UP	127	Playground	via routine 0x262CC
36	Shelter	OUT	127	Playground	via routine 0x262CC
37	Southwest Yard	N	240	Hallway	via routine 0x283DC
37	Southwest Yard	IN	240	Hallway	via routine 0x283DC
43	Cliff Edge	SW	254	Tundra	via routine 0x253D0
76	Mesa	S	306	Chasm's Brink	via routine 0x22D1C
76	Mesa	IN	394	Scaffold	via routine 0x22D28 | if NOT #524 (white door) has ATTRIBUTE26  →jump 0x22D34; if NOT #524 (white door) has ATTRIBUTE19  →jump 0x22D93
79	The Wabe	N	144	Round Pond	via routine 0x2252C | if NOT #395 (gnomon) has ATTRIBUTE3  →jump 0x22535
