from_id	from_name	direction	to_id	to_name	condition
1	Northwest Room	N	12	Spare Room	
1	Northwest Room	E	442	Assembly Room	
1	Northwest Room	S	21	Kitchen	
1	Northwest Room	IN			routine 0x111D0
1	Northwest Room	OUT			routine 0x111DC
4	North Arbor	NE			routine 0x24A00
4	North Arbor	E			routine 0x24A00
4	North Arbor	SE			routine 0x24A00
4	North Arbor	SW			routine 0x24A00
4	North Arbor	W			routine 0x24A00
4	North Arbor	NW			routine 0x24A00
4	North Arbor	UP			routine 0x24820
4	North Arbor	DOWN			routine 0x248DC
4	North Arbor	IN			routine 0x24820
4	North Arbor	OUT			routine 0x248DC
5	Islet	N	501	Sand Bar	
5	Islet	IN			routine 0x24B78
6	Front Deck	N			routine 0x286DC
6	Front Deck	NE			routine 0x17404
6	Front Deck	E			routine 0x286C8
6	Front Deck	SE			routine 0x17404
6	Front Deck	S			routine 0x286E4
6	Front Deck	SW	460	Southeast Room	if #26 (left door) is OPEN
6	Front Deck	W			routine 0x2865C
6	Front Deck	NW	442	Assembly Room	if #39 (right door) is OPEN
6	Front Deck	DOWN			routine 0x286C8
6	Front Deck	IN			routine 0x2865C
12	Spare Room	N	175	Bathroom	
12	Spare Room	E	214	Bedroom	
12	Spare Room	S	1	Northwest Room	
12	Spare Room	W	297	Back Yard	if #128 (screen door) is OPEN
12	Spare Room	IN			routine 0x111D0
12	Spare Room	OUT			routine 0x111DC
21	Kitchen	N	1	Northwest Room	
21	Kitchen	E	460	Southeast Room	
21	Kitchen	W	240	Hallway	if #435 (outer door) is OPEN
21	Kitchen	IN			routine 0x111D0
21	Kitchen	OUT			routine 0x111DC
30	Underground	E	87	Underground	
30	Underground	W			routine 0x173D0
30	Underground	IN			routine 0x173D0
30	Underground	OUT	87	Underground	
36	Shelter	W			routine 0x262CC
36	Shelter	UP			routine 0x262CC
36	Shelter	OUT			routine 0x262CC
37	Southwest Yard	N			routine 0x283DC
37	Southwest Yard	E	477	Southeast Yard	
37	Southwest Yard	SE			routine 0x17404
37	Southwest Yard	S			routine 0x17404
37	Southwest Yard	SW	515	Southwest of Ranch	if #513 (iron gate) is OPEN
